title,description
"한국인 스타 EPL 손흥민-NFL 구영회, 10월 런던에서 만난다",한국인 스포츠 스타인 잉글랜드 프로축구 프리미어리그(EPL)의 손흥민(29·토트넘)과 미국프로풋볼(NFL)의... 손흥민과 구영회의 만남을 기대한 듯 구단 소셜네트워크서비스(SNS)는 두 선수의 포스터를 게재했다. 손흥민은... 
손흥민-구영회 두 한국인 스타 10월에 만난다,"잉글랜드 프로축구 토트넘의 손흥민(29)과 미국프로풋볼(NFL) 애틀란타 팰컨스 구영회(27·애틀랜타 팰컨스)... 애틀랜타는 손흥민과 구영회, 두 선수가 나란히 킥하는 모습을 담은 사진을 SNS에 게재했다. 손흥민과... "
"EPL 손흥민-NFL 구영회, 10월 만남 기대",잉글랜드 프로축구 프리미어리그(EPL)의 손흥민(29·토트넘 홋스퍼)과 미국프로풋볼(NFL)의 구영회(27... 애틀랜타는 손흥민과 구영회의 만남을 희망한 듯 SNS에 두 선수가 나란히 킥하는 모습이 담긴 사진을 게시했다.... 
"토트넘, 손흥민 한 시즌 최다 골 조명…최고 기록 썼다",잉글랜드 프로축구 토트넘이 손흥민(29)의 개인 한 시즌 공식전 최다 득점 기록을 조명했다. 토트넘은 12일(한국시간) 홈페이지에 첫 화면에 '손흥민이 지금까지 경력에서 최고 기록을 썼다'는 제목의 기사를... 
"손흥민·구영회, 한국 최고 Football 스타들 10월 만난다","매경닷컴 MK스포츠 박찬형 기자 손흥민(29·토트넘 홋스퍼)과 구영회(27·애틀랜타 팰컨스), 축구... 애틀랜타는 영국 런던 경기 일정 공개와 함께 구영회와 손흥민의 만남을 주제로 제작한 홍보물을 배포했다.... "
"'손흥민 탈락' 英매체 B11, 마운트 선정 위해 손흥민 제외",손흥민 대신 메이슨 마운트 선정했다. 제이미 캐러거와 게리 네빌은 먼데이 풋볼 나잇을 통해 올해의 팀을 선정했다. 손흥민은 캐러거의 선택을 받았지만 네빌은 손흥민을 선발하지 않았다. 캐러거는 손흥민에 대해... 
"토트넘, 홈페이지에 손흥민 최다 골 조명",잉글랜드 프로축구 토트넘 구단이 손흥민 선수의 개인 한 시즌 공식전 최다 골 기록을 조명했습니다. 토트넘은 구단 홈페이지 첫 화면에 '손흥민이 지금까지 경력에서 최고 기록을 썼다'는 제목의 글을 올렸습니다.... 
英잡지 표지에 손흥민… 베컴 이후 21년 만에 축구선수 모델,‘아레나 옴므’ 표지 모델에 발탁 2000년 데이비드 베컴 이후 처음 손흥민이 영국 잡지 표지 모델로 등장했다. 12일 현지 매체에 따르면 잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼의 손흥민(29)이 영국 패션 잡지... 
"손흥민, 현지 패션 잡지 '아레나 옴므' 표지모델 깜짝 등장",잉글랜드 프로축구 토트넘 손흥민(29)이 패션 잡지 아레나 옴므 영국판 표지 모델로 등장했다. 영국 데일리메일은 12일 토트넘 스타 손흥민이 패션 잡지 아레나 옴므 최신판 커버를 장식했다. 손흥민은 데이비드 베컴의... 
'시즌 최다 22골' 손흥민 조명한 토트넘 아직 최고가 아니다,토트넘 홋스퍼가 이번 시즌 최고의 활약을 펼치고 있는 공격수 손흥민(29)을 조명했다. 토트넘 구단은 12일(한국시간) 아직 최고가 아닌 쏘니(손흥민)란 제목으로 2020-21시즌 손흥민의 활약상을 집중적으로... 
