제목,예매율,평점,개봉일
블랙 위도우,78.2,8.8,21.07.07
크루엘라,2.7,8.8,21.05.26
발신제한,1.6,6.8,21.06.23
콰이어트 플레이스 2,0.8,7.3,21.06.16
루카,0.7,8.2,21.06.17
이번엔 잘 되겠지,0.7,9.3,21.07.08
킬러의 보디가드2,0.6,6.1,21.06.23
괴기맨숀,0.4,6.6,21.06.30
시카다 3301,0.3,2.0,21.07.01
미드나이트,0.2,4.9,21.06.30
트립 투 그리스,0.2,9.4,21.07.08
컨저링 3: 악마가 시켰다,0.1,5.5,21.06.03
인 더 하이츠,0.1,7.6,21.06.30
빛나는 순간,0.1,8.8,21.06.30
뱅드림! 로젤리아 에피소드Ⅰ: 약속,0.1,8.9,21.06.03
우리는 매일매일,0.1,9.7,21.06.30
여고괴담 여섯번째 이야기 : 모교,0,6.6,21.06.17
매직아치,0,9.3,21.07.01
체르노빌 1986,0,8.0,21.06.30
흩어진 밤,0,9.8,21.06.24
메이드 인 루프탑,0,8.7,21.06.23
화이트 온 화이트,0,9.0,21.06.10
크레센도,0,9.7,21.06.24
노매드랜드,0,7.7,21.04.15
분노의 질주: 더 얼티메이트,0,7.0,21.05.19
이보다 더 좋을 순 없다,0,8.9,21.06.30
웬디,0,8.3,21.06.30
미션 임파서블: 루벤,0,3.2,21.07.08
다크 앤드 위키드,0,7.4,21.06.30
샤먼 로드,0,9.5,21.07.03
인트로덕션,0,7.7,21.05.27
사랑하고 사랑받고 차고 차이고,0,7.3,21.06.16
저승보다 낯선,0,10.0,21.06.30
좀비크러쉬: 헤이리,0,8.0,21.06.30
