기준연월	지역명	지역코드	법정동	아파트	거래금액	년	월	일	건축년도	전용면적	층
202106	서울특별시종로구	11110	 내수동	킹스매너	   175,000	2021	6	14	2004	201.82	3
202106	서울특별시종로구	11110	 창신동	창신쌍용1	    86,000	2021	6	19	1992	79.87	8
202106	서울특별시종로구	11110	 숭인동	종로유케이201	    11,000	2021	6	10	2013	12.09	9
202106	서울특별시종로구	11110	 숭인동	종로동광모닝스카이	    10,800	2021	6	19	2013	15.855	11
202106	서울특별시중구	11140	 충무로4가	진양상가	    51,800	2021	6	10	1970	71.93	5
202106	서울특별시중구	11140	 충무로5가	충무로헤센스마트	    23,000	2021	6	21	2018	21.04	2
202106	서울특별시중구	11140	 충무로5가	충무로엘크루메크로시티2	    20,000	2021	6	22	2016	22.75	14
202106	서울특별시중구	11140	 신당동	약수하이츠	   129,000	2021	6	2	1999	84.88	12
202106	서울특별시중구	11140	 신당동	약수역 더시티	    25,200	2021	6	4	2021	20.73	6
202106	서울특별시중구	11140	 신당동	신당푸르지오	   129,000	2021	6	5	2005	84.39	22
202106	서울특별시중구	11140	 신당동	약수역 더시티	    25,800	2021	6	7	2021	18.86	7
202106	서울특별시중구	11140	 신당동	신당 KCC 스위첸	   129,500	2021	6	9	2019	72.9906	9
202106	서울특별시중구	11140	 신당동	약수역 더시티	    23,800	2021	6	11	2021	18.3	10
202106	서울특별시중구	11140	 신당동	약수하이츠	   135,000	2021	6	12	1999	84.88	7
202106	서울특별시중구	11140	 신당동	약수하이츠	    97,000	2021	6	12	1999	57.63	12
202106	서울특별시중구	11140	 황학동	DUO302	    15,000	2021	6	3	2014	15.97	18
202106	서울특별시중구	11140	 황학동	황학아크로타워	   130,000	2021	6	7	2010	134.301	13
202106	서울특별시중구	11140	 중림동	성요셉	    37,000	2021	6	10	1975	68	6
202106	서울특별시용산구	11170	 산천동	리버힐삼성	   140,000	2021	6	5	2001	84.98	14
202106	서울특별시용산구	11170	 산천동	리버힐삼성	   149,000	2021	6	12	2001	114.48	8
202106	서울특별시용산구	11170	 원효로4가	풍전	   124,000	2021	6	4	1971	100.46	4
202106	서울특별시용산구	11170	 원효로4가	강변삼성스위트	   115,000	2021	6	5	1999	59.94	5
202106	서울특별시용산구	11170	 효창동	용산케이씨씨스위첸	   139,000	2021	6	5	2018	59.98	15
202106	서울특별시용산구	11170	 도원동	삼성래미안	   118,000	2021	6	12	2001	59.94	9
202106	서울특별시용산구	11170	 용문동	삼성하이츠	    85,000	2021	6	19	2003	84.39	4
202106	서울특별시용산구	11170	 문배동	지오베르크	   115,000	2021	6	10	2004	76.02	5
202106	서울특별시용산구	11170	 한강로2가	벽산메가트리움	   153,000	2021	6	1	2005	84.97	23
202106	서울특별시용산구	11170	 용산동5가	용산파크타워(24-1)	   349,000	2021	6	5	2009	180.62	23
202106	서울특별시용산구	11170	 이촌동	래미안첼리투스아파트	   327,998	2021	6	2	2015	124.35	26
202106	서울특별시용산구	11170	 이촌동	우성	   199,500	2021	6	3	1995	114.74	4
202106	서울특별시용산구	11170	 이촌동	동부센트레빌	   210,000	2021	6	4	2001	100.92	25
202106	서울특별시용산구	11170	 이촌동	우성	   214,000	2021	6	5	1995	114.74	11
202106	서울특별시용산구	11170	 이촌동	한강(대우)	   200,000	2021	6	5	2000	84.98	20
202106	서울특별시용산구	11170	 이촌동	한가람	   158,000	2021	6	11	1998	59.88	2
202106	서울특별시용산구	11170	 이촌동	강변	    80,000	2021	6	18	1971	66.08	3
202106	서울특별시용산구	11170	 이촌동	강서	    80,000	2021	6	18	1972	53.26	1
202106	서울특별시용산구	11170	 한남동	한남동리첸시아	    73,000	2021	6	5	2004	37.53	10
202106	서울특별시성동구	11200	 하왕십리동	센트라스아파트	   210,000	2021	6	3	2016	115.99	23
202106	서울특별시성동구	11200	 하왕십리동	센트라스아파트	   148,000	2021	6	5	2016	59.93	20
202106	서울특별시성동구	11200	 하왕십리동	왕십리자이	   127,000	2021	6	12	2017	59.99	13
202106	서울특별시성동구	11200	 하왕십리동	텐즈힐아파트(1단지)	   198,000	2021	6	14	2015	129.34	16
202106	서울특별시성동구	11200	 하왕십리동	센트라스아파트	   180,000	2021	6	22	2016	84.98	16
202106	서울특별시성동구	11200	 행당동	서울숲 한신 더 휴	   117,000	2021	6	5	2003	59.91	7
202106	서울특별시성동구	11200	 행당동	서울숲행당푸르지오	   118,000	2021	6	5	2011	59.68	14
202106	서울특별시성동구	11200	 행당동	행당 한진타운	   105,000	2021	6	5	2000	59.96	24
202106	서울특별시성동구	11200	 행당동	서울숲 한신 더 휴	   139,200	2021	6	5	2003	84.95	16
202106	서울특별시성동구	11200	 행당동	신동아	    91,000	2021	6	8	1995	59.97	6
202106	서울특별시성동구	11200	 행당동	행당 한진타운	   110,000	2021	6	12	2000	59.96	7
202106	서울특별시성동구	11200	 행당동	대림e-편한세상	   109,000	2021	6	18	2000	59.96	10
202106	서울특별시성동구	11200	 응봉동	대림강변타운	   143,000	2021	6	3	2001	84.42	5
202106	서울특별시성동구	11200	 응봉동	서울숲리버그린동아아파트	   140,800	2021	6	4	2003	84.83	20
202106	서울특별시성동구	11200	 응봉동	신동아	    95,000	2021	6	6	1996	59.97	5
202106	서울특별시성동구	11200	 응봉동	신동아	    70,000	2021	6	15	1996	59.97	4
202106	서울특별시성동구	11200	 금호동1가	이편한세상금호파크힐스	   149,000	2021	6	4	2019	59.949	12
202106	서울특별시성동구	11200	 금호동1가	이편한세상금호파크힐스	   174,000	2021	6	5	2019	84.957	11
202106	서울특별시성동구	11200	 금호동1가	벽산	   106,000	2021	6	15	2001	59.9	6
202106	서울특별시성동구	11200	 금호동2가	금호자이1차	   150,000	2021	6	8	2012	84.98	13
202106	서울특별시성동구	11200	 금호동3가	두산	   128,000	2021	6	14	1994	84.99	14
202106	서울특별시성동구	11200	 금호동4가	대우	   123,500	2021	6	1	2001	59.97	20
202106	서울특별시성동구	11200	 금호동4가	힐스테이트 서울숲 리버	   185,000	2021	6	1	2018	84.92	12
202106	서울특별시성동구	11200	 금호동4가	대우	   154,000	2021	6	8	2001	84.71	10
202106	서울특별시성동구	11200	 금호동4가	서울숲푸르지오2차	   145,000	2021	6	12	2012	59.862	7
202106	서울특별시성동구	11200	 옥수동	래미안 옥수 리버젠	   162,000	2021	6	1	2012	59.25	18
202106	서울특별시성동구	11200	 옥수동	옥수하이츠	   216,000	2021	6	2	1998	114.78	15
202106	서울특별시성동구	11200	 옥수동	옥수파크힐스101동~116동	   163,000	2021	6	2	2016	59.88	16
202106	서울특별시성동구	11200	 옥수동	극동그린	   139,500	2021	6	5	1997	114.32	2
202106	서울특별시성동구	11200	 옥수동	극동그린	   155,000	2021	6	5	1997	114.32	13
202106	서울특별시성동구	11200	 옥수동	옥수파크힐스101동~116동	   154,800	2021	6	11	2016	59.78	1
202106	서울특별시성동구	11200	 옥수동	래미안 옥수 리버젠	   190,000	2021	6	12	2012	84.81	14
202106	서울특별시성동구	11200	 성수동1가	한진타운	   169,000	2021	6	4	1994	84.21	12
202106	서울특별시성동구	11200	 성수동1가	쌍용	   127,900	2021	6	7	1997	59.76	13
202106	서울특별시성동구	11200	 송정동	건영	    93,000	2021	6	5	2000	84.945	8
202106	서울특별시광진구	11215	 중곡동	한영해시안 아파트	    41,700	2021	6	8	2017	57.02	10
202106	서울특별시광진구	11215	 구의동	구의현대2단지	   160,000	2021	6	8	1996	84.91	17
202106	서울특별시광진구	11215	 구의동	래미안파크스위트	   135,000	2021	6	10	2018	59.98	12
202106	서울특별시광진구	11215	 구의동	현대프라임	   119,400	2021	6	12	1997	59.82	27
202106	서울특별시광진구	11215	 광장동	현대파크빌	   130,000	2021	6	4	2000	59.76	6
202106	서울특별시광진구	11215	 광장동	극동1	   230,000	2021	6	15	1985	126.94	6
202106	서울특별시광진구	11215	 자양동	한라	   104,200	2021	6	1	1996	59.96	4
202106	서울특별시광진구	11215	 자양동	우방리버파크	   139,000	2021	6	2	2003	84.99	19
202106	서울특별시광진구	11215	 자양동	한강극동	   119,000	2021	6	6	1991	84.45	10
202106	서울특별시광진구	11215	 자양동	로얄동아	    95,000	2021	6	8	1999	59.91	14
202106	서울특별시동대문구	11230	 용두동	용두 두산위브	   105,300	2021	6	11	2009	59.99	12
202106	서울특별시동대문구	11230	 용두동	롯데캐슬피렌체	    38,000	2021	6	19	2009	26.08	7
202106	서울특별시동대문구	11230	 전농동	래미안 크레시티	   175,000	2021	6	1	2014	121.93	13
202106	서울특별시동대문구	11230	 전농동	전농동신성미소지움	   100,000	2021	6	5	2005	55.371	5
202106	서울특별시동대문구	11230	 전농동	래미안아름숲	   128,000	2021	6	10	2012	84.96	13
202106	서울특별시동대문구	11230	 전농동	전농우성	    63,000	2021	6	12	1992	59.78	6
202106	서울특별시동대문구	11230	 답십리동	래미안위브	   122,000	2021	6	4	2014	59.97	14
