페이지	키워드	제목	URL
1	삼성	SK아이이테크놀로지(SKIET) 공모 청약 증거금 81조원...SK바이오사이언스(63조6198억원), 카카오게임즈(58조5543억원) 따돌린 '역대급'	
1	삼성	4월 30일 모닝뉴스 헤드라인	
1	삼성	이재용, 삼성생명 지분 절반 상속…전자·물산은 법정비율 적용	
1	삼성	'로하스처럼' kt 알몬테, 역대 10호 좌우 타석 홈런 · 7타점	https://sports.news.naver.com/news.nhn?oid=055&aid=0000891361
1	삼성	갤럭시탭S7, 'M1' 탑재 아이패드 프로 상대될까	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=030&aid=0002942335
1	삼성	삼성전자 주식유산 법정비율대로 분배	
1	삼성	민주당 박용진 "블록체인 장려하고 코인(가상화폐)은 단속? 꼰대적 발상"	
1	삼성	이건희 지분 상속세, 홍라희 3.1조·이재용 2.9조	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004539670
1	삼성	[프로야구 30일 팀 순위]삼성, 하룻만에 다시 선두 복귀, 지난해 챔피언 NC 7위까지 추락	https://sports.news.naver.com/news.nhn?oid=425&aid=0000117532
1	삼성	충남북부상공회의소 제20대 회장에 대일공업(주) 문상인 대표이사 선출	
2	삼성	[프로야구 1일 선발 예고]곽빈(두산) 3년만에 프로데뷔 첫 선발등판, 이민호(LG), 불펜데이 삼성 맞아 2승 도전	https://sports.news.naver.com/news.nhn?oid=425&aid=0000117531
2	삼성	원태인 다승 · 평균자책점 1위…삼성, 하루 만에 단독 선두 복귀	https://sports.news.naver.com/news.nhn?oid=055&aid=0000891360
2	삼성	엔씨소프트·한국투자증권 등 하계인턴 모집	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010476926
2	삼성	왼쪽에서 쾅, 오른쪽에서 쾅… KT 알몬테 좌우타석 홈런	https://sports.news.naver.com/news.nhn?oid=241&aid=0003113085
2	삼성	[마감] 조선주, 업황개선 기대에 '강세'...STX중공업 '상한가'	
2	삼성	[부고] 김형기씨(뉴시스 대표) 부친상	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005324834
2	삼성	'원태인 승리·ERA 1위' 삼성 선두 탈환…최하위 한화 4연패 탈출(종합)	https://sports.news.naver.com/news.nhn?oid=421&aid=0005324831
2	삼성	[프로야구 30일 전적 종합]원태인 평균자책점 1위, 피렐라 홈런 공동 1위--하주석, 데뷔 첫 5타수5안타 한화 4연패 끊어, 알몬테KT), KBO 통산 10번째 좌우타자 홈런	https://sports.news.naver.com/news.nhn?oid=425&aid=0000117530
2	삼성	[부고] 김형기(뉴시스 대표)씨 부친상	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012366514
2	삼성	원태인 포효한 삼성, 단독 1위 등극... 한화 4연패 탈출	
